PRD_ID,AIR_TMP,PRC_TMP,ROT_SPD,TRQ_PWR,TOOL_TM,NS_LVL
M58860,298.1,308.6,1551.0,42.8,0,83.8865
L91181,312.4,308.7,1408.0,,,
L91182,298.1,308.5,1498,49.4,5,87.055
L91183,306.2,308.6,1433,,,
L91184,298.2,308.7,1408,40,9,
M58865,313.5,,1425,41.9,,
L91186,313.7,,1558,,14,
L91187,308.8,,1527,40.2,,
M58868,298.3,308.7,1667,28.6,18,102.3119
M58869,298.5,309,1741.0,28.0,21.0,110.4649
H73424,298.4,308.9,1782,23.9,24,99.8704
H73425,298.6,309.1,1423,44.3,29,104.9683
M58872,311.9,309.1,,,34,
M58873,298.6,309.2,1742,30,37,
L91194,310,309.2,2035,,40,102.078
L91195,298.6,309.2,1542,48.4,42.0,
M58876,298.6,309.2,1311.0,46.6,44,96.1969
M58877,298.7,309.2,1410,45.6,47,
H73432,298.8,309.2,1306,54.5,50,99.8077
M58879,298.9,309.3,1632,32.5,55,99.4705
H73434,310.9,309.3,1375,,58.0,90.7461
L91201,298.8,309.3,1450,44.8,63,
M58882,307.6,309.3,,,65,
L91203,299,309.4,1758,25.7,68,
M58884,299,309.4,1561,37.3,70,127.8419
L91205,314,,1861,,73,
L91206,299.1,309.5,1512,39,75,110.4961
H73441,299.1,309.4,1811,24.6,77,
L91208,307.6,309.4,,,82,
L91209,299,309.4,1693,30.1,84,103.9261
M58890,306.6,309.5,,48.2,,
L91211,299,309.4,1798,25.5,89,
L91212,309.9,,1419,,91,
L91213,298.9,309.3,1665,32.5,93,
M58894,298.8,309.1,1559,34.7,95,
M58895,310.3,309.2,1452,,98,
M58896,310.5,309.2,,36.7,,
L91217,298.8,309.1,1439,39.2,104,106.1502
H73452,298.9,309.2,1379,50.7,106,90.4239
L91219,298.8,309.1,1350,52.5,111,
L91220,311.5,309.1,1362,,113,
L91221,298.8,309.1,1368,50.8,115,129.1984
M58902,298.8,309.1,1368,49.1,117,109.3331
H73457,311.7,309.2,,48.5,,
M58904,298.8,309.1,1472,47.5,125,
L91225,306.1,309.1,,49.1,,
M58906,298.7,309,1843,25.8,130,
L91227,304.7,,1418,,133,
H73462,309.1,309.2,,53.9,,
M58909,310,309.2,1412,,,
L91230,298.9,309.1,2861,4.6,143,
L91231,298.9,309.1,1383,54.9,145,116.9717
H73466,298.8,309,1497,43.8,147,121.755
L91233,310,,1565,35.1,,
L91234,298.7,309,1691,30.1,154,115.3549
L91235,314,309.1,1512,,156,94.7573
L91236,298.8,309.1,1477,42.4,158,109.3224
L91237,298.8,309.1,1513,40.3,160,
M58918,307.4,,1661,29.5,,
L91239,313.7,309.1,1378,,165,
L91240,298.8,309.1,1393,52.6,167,
M58921,308.1,309,,,169,
L91242,298.8,309,1829,22.9,172,
M58923,298.9,309,1812,25.9,174,116.1599
L91244,310.4,309.1,1523,,,
L91245,299,309.1,1394,45.1,179,100.5615
M58926,304.8,308.9,1679,,181,100.9687
H73481,305.8,308.9,,,184,
L91248,298.8,308.9,1527,32.4,189,124.9176
L91249,311.6,309,,,191,
M58930,298.9,309,1924,22.6,193,128.3489
L91251,298.9,309.1,1452,45.5,196,101.9225
L91252,298.9,309.1,1369,44.4,198,
L91253,309.1,309.1,,35,,
L91254,311.7,309,,32.3,,
L91255,298.8,308.9,1379,46.7,204,131.4804
L91256,311.4,308.9,1461,,206,107.6431
L91257,298.8,308.9,1455,41.3,208,
L91258,298.8,308.9,1398,51.5,0,99.2974
L91259,307.2,308.9,1402,,2,
H73494,307.3,308.8,1445,,,
L91261,305.1,308.9,,47.5,,
L91262,313.7,308.9,,40.8,,
L91263,299,309,1469,40.1,13,91.5444
L91264,298.9,308.9,1422,47.6,15,
M58945,309,,1804,,17,
H73500,313.6,,1436,43.9,,
L91267,312.2,309,1544,,25,98.21
M58948,313.6,,1419,45.2,,
M58949,312.5,,1487,,30,
L91270,308.3,308.9,,25.8,,
L91271,298.9,308.9,1830,24.9,35,
M58952,310.1,,1727,,37,
L91273,299.1,309,1450,43,40,
L91274,299,308.9,1622,31.9,42,102.9484
M58955,299,309,1351,52.2,44,82.3146
M58956,299,309,1575,35.3,47,75.0973
M58957,310.4,,1750,29.9,,
L91278,307.3,308.8,,,53,
L91279,307.5,,1523,44.4,,
L91280,298.8,308.9,1852,25,57,97.0177
L91281,298.8,308.8,1991,20.7,59,114.8898
L91282,309.5,308.8,1555,,,
M58963,298.8,308.8,1441,40.5,63,
L91284,307,,1450,43.4,,
L91285,311.4,308.7,,31.1,,
L91286,307.2,,1445,,70,
M58967,298.8,308.8,1497,46.8,72,99.5563
H73522,309.4,308.8,,,75,
L91289,306.3,308.7,,34.1,,
L91290,298.8,308.6,1872,22.5,82,
H73525,311,308.6,,43.5,,
M58972,312.3,308.7,1498,,,
M58973,298.8,308.6,1486,41.9,92,92.8556
L91294,304.1,308.6,,,95,
L91295,298.8,308.6,1431,45.7,97,109.0191
L91296,308.8,,1564,,99,
L91297,312.4,,1599,33,,
M58978,298.8,308.6,1707,28.1,103,
L91299,298.7,308.5,1467,40.7,106,92.4943
L91300,298.9,308.7,1433,44.7,108,102.0111
L91301,298.9,308.7,1558,41.2,110,
L91302,307.2,,1310,,112,
L91303,298.9,308.7,1546,43.4,114,90.7237
L91304,298.9,308.7,1727,29.4,116,113.3877
L91305,304.7,308.6,1560,,,
L91306,299,308.6,1329,60.5,120,101.6455
L91307,298.9,308.6,1413,46.5,122,119.914
L91308,312.4,308.6,1587,,124,
L91309,298.9,308.5,1559,34.3,126,
L91310,298.8,308.4,1473,41.1,128,99.4076
L91311,305.6,308.4,,27.7,,
M58992,311.7,308.4,,43.2,,
M58993,309.2,308.4,,,135,
L91314,298.8,308.4,1369,53,138,
M58995,298.8,308.5,1711,28.5,140,125.7799
H73550,298.7,308.5,1420,45.7,143,115.4262
L91317,312,,1297,55.3,,
H73552,313.4,308.6,1449,,150,
L91319,310.2,308.6,1268,,,
L91320,298.8,308.6,1511,36.1,157,
L91321,298.7,308.5,1544,35.2,159,101.5298
M59002,309.8,,1778,,161,
H73557,298.6,308.4,1407,50.5,164,
M59004,304,,1391,,169,
L91325,298.5,308.4,1513,33.6,172,
H73560,298.5,308.4,1612,36.1,174,
L91327,298.4,308.4,1515,40.1,179,104.1641
M59008,305.7,,1379,,181,
L91329,298.4,308.3,1473,39.9,184,108.8224
L91330,308.5,,1422,42.7,,
M59011,298.4,308.2,1463,37.6,188,123.9322
M59012,304.3,,1584,,191,
L91333,313.7,,1850,27,,
L91334,298.4,308.2,1528,36.2,196,112.1293
H73569,308.2,308.2,,,198,
M59016,298.4,308.1,1495,46,203,114.477
H73571,306.1,308.2,1478,,,
M59018,298.4,308.2,1499,40,211,
L91339,298.4,308.2,1471,47,214,92.3816
L91340,298.4,308.2,1282,60.7,216,
L91341,306.3,,1412,52.3,,
L91342,312.5,308.1,,35.5,,
M59023,298.4,308.2,1468,43.8,2,
M59024,312.6,308.3,1440,,5,
L91345,298.5,308.4,1733,26,8,
H73580,312.4,,1612,,10,
H73581,298.4,308.3,1458,42.9,15,80.7298
L91348,298.4,308.3,1433,62.3,20,103.6714
L91349,298.4,308.3,1318,59.1,22,92.1336
M59030,307.5,,1610,,24,
L91351,310.6,,1462,,27,
M59032,298.1,308,1924,20.8,29,
M59033,306.7,,1591,,32,
L91354,298.2,308.1,1306,58.3,35,86.253
L91355,298.2,308.1,1382,43.5,37,104.7745
L91356,306.3,308.1,1618,,,
L91357,312.9,,1988,,41,
L91358,307.8,,1436,50.2,,
L91359,298.2,308.3,1304,49.8,45,89.8835
L91360,298.2,308.3,1475,49.9,47,97.8932
H73595,298.2,308.3,1824,24.2,49,
M59042,312,,1342,,54,
L91363,298.1,308.2,1485,40.7,57,
L91364,298.2,308.2,1667,30.6,59,
L91365,298.2,308.2,1446,38.2,61,86.0344
L91366,305.9,,1301,56,,
L91367,309.3,,1379,,65,
L91368,298.3,308.5,1606,33.6,67,117.3579
M59049,310,308.4,,,69,
L91370,305.4,,1477,49.9,,
L91371,313.2,,1666,34.6,,
H73606,312.6,,1398,51.8,,
H73607,298.2,308.4,1678,34.6,81,
M59054,309,,2678,,86,
L91375,310.9,308.5,1453,,,
H73610,310.9,,1432,,91,
M59057,298.4,308.6,1527,40.9,96,106.0624
